,title,subtitle,productType,productSubType,color,url,imageUrl,currentPrice,discountPercentage,initialPrice
0,Nike Zoom Vomero Roam,Men's Winterized Shoes,FOOTWEAR,,Black,https://www.nike.com/t/zoom-vomero-roam-mens-winterized-shoes-8Il3Lszv/FV2295-001,https://static.nike.com/a/images/t_default/b3bddda6-c1f4-4a29-8d19-eae50f8e4747/NIKE+ZOOM+VOMERO+ROAM.png,180,0,180
1,Nike Zoom Vomero Roam,Men's Winterized Shoes,FOOTWEAR,,White,https://www.nike.com/t/zoom-vomero-roam-mens-winterized-shoes-8Il3Lszv/HV5951-100,https://static.nike.com/a/images/t_default/675730d6-7c30-49d4-a847-f6bf9c6452b9/NIKE+ZOOM+VOMERO+ROAM.png,180,0,180
2,Nike Zoom Vomero Roam,Men's Winterized Shoes,FOOTWEAR,,Black,https://www.nike.com/t/zoom-vomero-roam-mens-winterized-shoes-8Il3Lszv/FV2295-002,https://static.nike.com/a/images/t_default/516bd228-018b-47f8-b25f-1d11e15dfff7/NIKE+ZOOM+VOMERO+ROAM.png,180,0,180
3,Nike Zoom Vomero Roam,Men's Winterized Shoes,FOOTWEAR,,Blue,https://www.nike.com/t/zoom-vomero-roam-mens-winterized-shoes-8Il3Lszv/FV2295-400,https://static.nike.com/a/images/t_default/86105ea8-e25a-4748-8a21-e9ae6647fcdd/NIKE+ZOOM+VOMERO+ROAM.png,180,0,180
4,"Air Jordan 3 Retro ""Cement Grey""",Men's Shoes,FOOTWEAR,,White,https://www.nike.com/t/air-jordan-3-retro-cement-grey-mens-shoes-J1LGrG/CT8532-106,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6de142b1-f672-48fd-8d39-9c23f09dad02/AIR+JORDAN+3+RETRO.png",200,0,200
5,"Air Jordan 4 Retro ""Fear""",Men's Shoes,FOOTWEAR,,Black,https://www.nike.com/t/air-jordan-4-retro-fear-mens-shoes-yB4PkX4a/FQ8138-002,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6277086f-b7f9-4e91-957c-9fdb4e822ede/AIR+JORDAN+4+RETRO.png",215,0,215
6,Nike Air Pegasus Wave,Men's Shoes,FOOTWEAR,,White,https://www.nike.com/launch/r/IB0612-100,https://static.nike.com/a/images/t_default/bc7b1b8f-e249-4e63-a386-7c3d92842cd7/NIKE+AIR+PEGASUS+WAVE.png,160,0,160
7,Nike Air Pegasus Wave,Men's Shoes,FOOTWEAR,,Black,https://www.nike.com/launch/r/IB0612-001,https://static.nike.com/a/images/t_default/e17dd536-868c-477e-8de8-4bbda1540ca1/NIKE+AIR+PEGASUS+WAVE.png,160,0,160
8,Nike Air Pegasus 2005,Men's Shoes,FOOTWEAR,,Grey,https://www.nike.com/t/air-pegasus-2005-mens-shoes-856hjz/HQ3482-095,https://static.nike.com/a/images/t_default/0f6bd68f-1f3d-442f-a61f-9cb8301a84eb/NIKE+AIR+PEGASUS+2005.png,150,0,150
9,Nike Air Pegasus 2005,Men's Shoes,FOOTWEAR,,Grey,https://www.nike.com/t/air-pegasus-2005-mens-shoes-856hjz/HQ1173-001,https://static.nike.com/a/images/t_default/a7e21b3c-94b9-45cb-8c1f-e17c6560f372/NIKE+AIR+PEGASUS+2005.png,150,0,150
10,Nike Air Pegasus 2005,Men's Shoes,FOOTWEAR,,White,https://www.nike.com/t/air-pegasus-2005-mens-shoes-856hjz/FJ1909-100,https://static.nike.com/a/images/t_default/321bdf7f-0f1d-486d-ac73-b661f830cae1/NIKE+AIR+PEGASUS+2005.png,150,0,150
11,Nike Air Pegasus 2005,Men's Shoes,FOOTWEAR,,White,https://www.nike.com/t/air-pegasus-2005-mens-shoes-856hjz/FV6383-100,https://static.nike.com/a/images/t_default/b735ab67-c1e9-496f-aea0-87d61bdaaeb4/NIKE+AIR+PEGASUS+2005.png,150,0,150
12,Nike Air Pegasus 2005,Men's Shoes,FOOTWEAR,,White,https://www.nike.com/t/air-pegasus-2005-mens-shoes-856hjz/FZ2590-100,https://static.nike.com/a/images/t_default/57705573-c23c-42ba-8196-5f9ec281d5b4/NIKE+AIR+PEGASUS+2005.png,160,0,160
13,Nike Air Pegasus 2005,Men's Shoes,FOOTWEAR,,White,https://www.nike.com/t/air-pegasus-2005-mens-shoes-856hjz/HQ5403-100,https://static.nike.com/a/images/t_default/1270d747-9d67-453e-9949-b4b6ac88b6fb/NIKE+AIR+PEGASUS+2005.png,150,0,150
14,Nike Air Pegasus 2005,Men's Shoes,FOOTWEAR,,Green,https://www.nike.com/t/air-pegasus-2005-mens-shoes-856hjz/HQ3444-343,https://static.nike.com/a/images/t_default/c7aa9a43-2905-4983-bfb7-5f25cadda618/NIKE+AIR+PEGASUS+2005.png,150,0,150
15,Nike Air Pegasus 2005,Men's Shoes,FOOTWEAR,,Grey,https://www.nike.com/t/air-pegasus-2005-mens-shoes-856hjz/HQ5403-001,https://static.nike.com/a/images/t_default/94f2556d-21b8-4bc9-ad37-5173ad4ecf1d/NIKE+AIR+PEGASUS+2005.png,150,0,150
16,Nike Air Pegasus 2005,Men's Shoes,FOOTWEAR,,White,https://www.nike.com/t/air-pegasus-2005-mens-shoes-856hjz/HM4348-100,https://static.nike.com/a/images/t_default/ca341e3d-c51b-4e0e-b3b3-0e26d6049487/NIKE+AIR+PEGASUS+2005.png,150,0,150
17,Nike Zoom Vomero 5,Men's Shoes,FOOTWEAR,,Blue,https://www.nike.com/t/zoom-vomero-5-mens-shoes-MgsTqZ/HF1553-400,https://static.nike.com/a/images/t_default/8da2af91-3095-4470-bab3-6cfe32408e5b/NIKE+ZOOM+VOMERO+5.png,160,0,160
18,Nike Zoom Vomero 5,Men's Shoes,FOOTWEAR,,Grey,https://www.nike.com/t/zoom-vomero-5-mens-shoes-MgsTqZ/BV1358-001,https://static.nike.com/a/images/t_default/kpqddwb8onq6vurqmmyy/NIKE+ZOOM+VOMERO+5.png,160,0,160
19,Nike Zoom Vomero 5,Shoes,FOOTWEAR,,Grey,https://www.nike.com/t/zoom-vomero-5-shoes-MgsTqZ/HJ7247-099,https://static.nike.com/a/images/t_default/3958bd30-b8ad-438f-a009-6c5610ff42fa/NIKE+ZOOM+VOMERO+5.png,109.97,31,160
20,Nike Zoom Vomero 5,Men's Shoes,FOOTWEAR,,Pink,https://www.nike.com/t/zoom-vomero-5-mens-shoes-MgsTqZ/HF5493-600,https://static.nike.com/a/images/t_default/f88abf67-88ea-4f1a-a4bb-5f648e5a741e/NIKE+ZOOM+VOMERO+5.png,109.97,31,160
21,Nike Zoom Vomero 5,Men's Shoes,FOOTWEAR,,Yellow,https://www.nike.com/t/zoom-vomero-5-mens-shoes-MgsTqZ/FB9149-701,https://static.nike.com/a/images/t_default/b95b8842-6390-423f-a177-acd377cb2ff2/NIKE+ZOOM+VOMERO+5.png,109.97,31,160
22,Nike Zoom Vomero 5,Shoes,FOOTWEAR,,Orange,https://www.nike.com/t/zoom-vomero-5-shoes-MgsTqZ/HJ9123-815,https://static.nike.com/a/images/t_default/64487d67-e304-4afe-b20f-303bca3bc910/NIKE+ZOOM+VOMERO+5.png,109.97,31,160
23,Nike Zoom Vomero 5,Men's Shoes,FOOTWEAR,,Brown,https://www.nike.com/t/zoom-vomero-5-mens-shoes-MgsTqZ/HF1553-200,https://static.nike.com/a/images/t_default/aa722273-9564-42c6-8143-a1d086ef16b6/NIKE+ZOOM+VOMERO+5.png,136.97,14,160
